"Sezon","Klub","Pozycja","LCPD","Wartosc_kadry","Punkty","Efektywnosc","Jednostki_ref"
"2019/2020","Real Madryt",1,641.049,913.75,87,1,"Real Madryt"
"2019/2020","FC Barcelona",2,656.429,930.28,82,0.786527901782891,"Real Madryt, FC Barcelona"
"2019/2020","Atletico Madryt",3,348.5,720.15,70,0.53132281205165,"Real Madryt"
"2019/2020","Sevilla FC",4,185.166,294.75,70,1,"Real Madryt"
"2019/2020","Villarreal CF",5,113.387,208.68,60,0.70532399153846,"Real Madryt, FC Barcelona"
"2019/2020","Real Sociedad",6,85.572,347.55,56,0.442878511662693,"Real Madryt"
"2019/2020","Granada CF",7,37.898,56.58,56,1,"Real Madryt"
"2019/2020","Getafe CF",8,63.799,175.45,54,0.587234909638091,"Real Madryt, FC Barcelona"
"2019/2020","Valencia CF",9,177.107,427.8,53,0.210316362424978,"Real Madryt, FC Barcelona"
"2019/2020","CA Osasuna",10,40.45,62.78,52,0.920665098057986,"Real Madryt, FC Barcelona"
"2019/2020","Athletic Bilbao",11,103.183,211.75,51,0.356798115968722,"Real Madryt, FC Barcelona"
"2019/2020","Levante UD",12,54.604,90.5,49,0.669323798859139,"Real Madryt, FC Barcelona, Atletico Madryt"
"2019/2020","Real Valladolid",13,34.867,87.78,42,1,"Real Madryt"
"2019/2020","SD Eibar",14,47.123,53.75,42,1,"Real Madryt"
"2019/2020","Real Betis",15,102.426,244.35,41,0.339285472691606,"Real Madryt, FC Barcelona, Atletico Madryt"
"2019/2020","Deportivo Alaves",16,53.171,106.75,39,0.650245565811228,"Real Madryt, FC Barcelona, Atletico Madryt"
"2019/2020","Celta de Vigo",17,69.873,167,37,0.48839879336637,"Real Madryt, FC Barcelona"
"2019/2020","CD Leganes",18,52.082,109.7,36,0.652603707362582,"Real Madryt, FC Barcelona, Atletico Madryt"
"2019/2020","RCD Mallorca",19,33.533,64.68,33,1,"Real Madryt"
